"sample_size","t","beta_hat_mean","beta_hat_sd","n_estimates","beta_true"
100,0.1,1.22666641383567,0.0462894249151017,200,1.08778525229247
100,0.127586206896552,1.24376574252749,0.0434135780535668,200,1.21850313628396
100,0.155172413793103,1.25112601490686,0.0426101536160942,200,1.32768899815689
100,0.182758620689655,1.24874723097376,0.0422038013278113,200,1.41207076813987
100,0.210344827586207,1.2366293907282,0.0410623012622478,200,1.46911970273002
100,0.237931034482759,1.21477249417018,0.0386551863707955,200,1.49712616579717
100,0.26551724137931,1.1831765412997,0.0350458640347159,200,1.49525086276934
100,0.293103448275862,1.14184153211675,0.0311412171278819,200,1.46354999251922
100,0.320689655172414,1.09076746662134,0.029318653055695,200,1.40297356320256
100,0.348275862068966,1.03139310204234,0.0329903141017674,200,1.31533692251938
100,0.375862068965517,0.975802532277874,0.0411140480616725,200,1.20326635557588
100,0.403448275862069,0.926720806677915,0.0502978231649478,200,1.07012038066434
100,0.431034482758621,0.88414792524246,0.0590596651149204,200,0.919889101560264
100,0.458620689655172,0.848083887971507,0.0668571771827536,200,0.757074632535961
100,0.486206896551724,0.818528694865058,0.0735133763687557,200,0.586556179500517
100,0.513793103448276,0.795482345923113,0.0790171590506251,200,0.413443820499482
100,0.541379310344828,0.77894484114567,0.0834557623952733,200,0.242925367464039
100,0.568965517241379,0.768916180532731,0.0869942844741137,200,0.0801108984397354
100,0.596551724137931,0.765396364084296,0.089873793430256,200,-0.0701203806643438
100,0.624137931034483,0.768385391800364,0.0924161272118124,200,-0.20326635557588
100,0.651724137931035,0.777883263680935,0.095027157907025,200,-0.315336922519378
100,0.679310344827586,0.793082321794201,0.0981120492612296,200,-0.402973563202562
100,0.706896551724138,0.810401047777687,0.101414055615671,200,-0.463549992519223
100,0.73448275862069,0.829413018642811,0.104476267619324,200,-0.495250862769342
100,0.762068965517241,0.850118234389574,0.106974756712414,200,-0.497126165797167
100,0.789655172413793,0.872516695017975,0.108683416980881,200,-0.46911970273002
100,0.817241379310345,0.896608400528014,0.109449831800647,200,-0.41207076813987
100,0.844827586206897,0.922393350919692,0.109177933092937,200,-0.327688998156891
100,0.872413793103448,0.949871546193008,0.107817426485683,200,-0.218503136283962
100,0.9,0.979042986347962,0.105359414756812,200,-0.0877852522924734
200,0.1,1.24663065622569,0.0567947612250262,200,1.08778525229247
200,0.127586206896552,1.27563933426685,0.0572104604791717,200,1.21850313628396
200,0.155172413793103,1.28806876716771,0.0557165012556674,200,1.32768899815689
200,0.182758620689655,1.28391895492828,0.051805558125651,200,1.41207076813987
200,0.210344827586207,1.26318989754856,0.0457597307261942,200,1.46911970273002
200,0.237931034482759,1.22588159502854,0.0391835722811018,200,1.49712616579717
200,0.26551724137931,1.17336751350378,0.0363816962791838,200,1.49525086276934
200,0.293103448275862,1.1195550587941,0.0400579183246769,200,1.46354999251922
