"sample_size","t","beta_hat_mean","beta_hat_sd","beta_true"
10,0,NA,NA,1
10,0.0204081632653061,NA,NA,0.960016659725115
10,0.0408163265306122,NA,NA,0.921699291961683
10,0.0612244897959184,NA,NA,0.885047896709704
10,0.0816326530612245,NA,NA,0.85006247396918
10,0.102040816326531,NA,NA,0.816743023740108
10,0.122448979591837,NA,NA,0.785089546022491
10,0.142857142857143,NA,NA,0.755102040816326
10,0.163265306122449,NA,NA,0.726780508121616
10,0.183673469387755,NA,NA,0.700124947938359
10,0.204081632653061,NA,NA,0.675135360266556
10,0.224489795918367,NA,NA,0.651811745106206
10,0.244897959183673,NA,NA,0.630154102457309
10,0.26530612244898,NA,NA,0.610162432319867
10,0.285714285714286,NA,NA,0.591836734693878
10,0.306122448979592,NA,NA,0.575177009579342
10,0.326530612244898,NA,NA,0.56018325697626
10,0.346938775510204,NA,NA,0.546855476884631
10,0.36734693877551,NA,NA,0.535193669304457
10,0.387755102040816,NA,NA,0.525197834235735
10,0.408163265306122,NA,NA,0.516867971678467
10,0.428571428571429,NA,NA,0.510204081632653
10,0.448979591836735,NA,NA,0.505206164098292
10,0.469387755102041,NA,NA,0.501874219075385
10,0.489795918367347,NA,NA,0.500208246563932
10,0.510204081632653,NA,NA,0.500208246563932
10,0.530612244897959,NA,NA,0.501874219075385
10,0.551020408163265,NA,NA,0.505206164098292
10,0.571428571428571,NA,NA,0.510204081632653
10,0.591836734693878,NA,NA,0.516867971678467
10,0.612244897959184,NA,NA,0.525197834235735
10,0.63265306122449,NA,NA,0.535193669304456
10,0.653061224489796,NA,NA,0.546855476884631
10,0.673469387755102,NA,NA,0.56018325697626
10,0.693877551020408,NA,NA,0.575177009579342
10,0.714285714285714,NA,NA,0.591836734693877
10,0.73469387755102,NA,NA,0.610162432319867
10,0.755102040816326,NA,NA,0.630154102457309
10,0.775510204081633,NA,NA,0.651811745106206
10,0.795918367346939,NA,NA,0.675135360266556
10,0.816326530612245,NA,NA,0.700124947938359
10,0.836734693877551,NA,NA,0.726780508121616
10,0.857142857142857,NA,NA,0.755102040816326
10,0.877551020408163,NA,NA,0.785089546022491
10,0.897959183673469,NA,NA,0.816743023740108
10,0.918367346938775,NA,NA,0.850062473969179
10,0.938775510204082,NA,NA,0.885047896709704
10,0.959183673469388,NA,NA,0.921699291961683
10,0.979591836734694,NA,NA,0.960016659725115
10,1,NA,NA,1
20,0,NA,NA,1
20,0.0204081632653061,NA,NA,0.960016659725115
20,0.0408163265306122,NA,NA,0.921699291961683
20,0.0612244897959184,NA,NA,0.885047896709704
20,0.0816326530612245,NA,NA,0.85006247396918
20,0.102040816326531,NA,NA,0.816743023740108
20,0.122448979591837,NA,NA,0.785089546022491
20,0.142857142857143,NA,NA,0.755102040816326
20,0.163265306122449,NA,NA,0.726780508121616
20,0.183673469387755,NA,NA,0.700124947938359
20,0.204081632653061,NA,NA,0.675135360266556
20,0.224489795918367,NA,NA,0.651811745106206
20,0.244897959183673,NA,NA,0.630154102457309
20,0.26530612244898,NA,NA,0.610162432319867
20,0.285714285714286,NA,NA,0.591836734693878
20,0.306122448979592,NA,NA,0.575177009579342
20,0.326530612244898,NA,NA,0.56018325697626
20,0.346938775510204,NA,NA,0.546855476884631
20,0.36734693877551,NA,NA,0.535193669304457
20,0.387755102040816,NA,NA,0.525197834235735
20,0.408163265306122,NA,NA,0.516867971678467
20,0.428571428571429,NA,NA,0.510204081632653
20,0.448979591836735,NA,NA,0.505206164098292
20,0.469387755102041,NA,NA,0.501874219075385
20,0.489795918367347,NA,NA,0.500208246563932
20,0.510204081632653,NA,NA,0.500208246563932
20,0.530612244897959,NA,NA,0.501874219075385
20,0.551020408163265,NA,NA,0.505206164098292
